FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,INGRESO,DESHABITAD,PROCESO,VIOLENCIA,ARMAS_US,ARMA,PER_SOSP,ALIAS,SEXO_AGRE,SEXO_AFEC,CAT_SOS,DETENIDO,MOT_DET,DET_SPM,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,REROBADO,OBJ_ROBADO,HECHOS,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,DEN_CASIO,LONG,LAT,OID
250036536,0,30422,ROBO A CASA,1,06/01/2025,2,1,1,FRACCIONAMIENTO,POZO BRAVO NORTE,225,225,CALLE,POZO NACIONAL,NA,NA,",,,",CALLE,PAULINO N MARTI,3,1,18,25,01:18 a. m.,9,NO,Falso,Falso,9,ninguna,2 HOMBRES,ND,H,H,8,0,N,N,0,0,Falso,0,N,N,NO,14,bicicleta,0,0,Falso,1,2,0,-102.27894,21.9264877,41
250037885,0,50107,ROBO A CASA,1,06/01/2025,2,1,1,FRACCIONAMIENTO,VILLA DE LAS FUENTES,385,385,CALLE,VILLAS DE CANCUN 101,NA,NA,"15,C,,",CALLE,VILLAS DE VALLARTA,3,11,45,20,11:45 a. m.,9,NO,Falso,Falso,9,ninguna,EXPAREJA,ND,H,M,5,0,N,N,0,0,Falso,0,N,N,NO,28,dinero,1100,1100,Falso,1,1,0,-102.23799,21.9129911,42
250040315,0,30414,ROBO A CASA,1,06/01/2025,2,1,1,FRACCIONAMIENTO,VILLA MONTAÑA,601,601,CALLE,CERRO LIRIMA,NA,NA,"115,C,,",CALLE,MONTES DE TOLEDO,3,15,0,21,03:00 p. m.,3,NO,Falso,Falso,9,ninguna,2 HOMBRES,ND,H,H,8,0,N,N,0,0,Falso,0,N,N,NO,"1,5,12","pantalla, equipo de sonido, ropa",0,10000,Falso,"1,23",1,3734,-102.25598,21.9468942,43
250042776,250042752,30414,ROBO A CASA,1,07/01/2025,2,2,1,FRACCIONAMIENTO,OJOCALIENTE III,191,191,CALLE,LA BOQUILLA,NA,NA,"127,,,",CALLE,LA MANZANA,4,5,0,16,22:00-05:00,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,"8,11,28","electrodomesticos, herramienta, dinero",300,4000,Falso,"1,23",6,3735,-102.2455,21.8827216,44
250043795,0,30414,ROBO A CASA,1,07/01/2025,2,2,1,COLONIA,NORIAS DEL PASO HONDO,656,656,CALLE,ANTIGUA CARRETERA A SAN LUIS POTOSI,NA,NA,"545,,,",CALLE,GIRASOL,4,0,0,27,sin datos,8,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,10,acabados,0,0,Falso,1,6,0,-102.20882,21.8627777,45
250044681,0,30446,ROBO A CASA,1,07/01/2025,2,2,1,FRACCIONAMIENTO,LOS PERICOS,287,287,CALLE,SAN PATRICIO,NA,NA,"105,,,",AVENIDA,POLIDUCTO,4,0,0,27,sin datos,4,NO,Falso,Verdadero,3,contusa,3 HOMBRES,ND,H,M,8,0,N,N,0,0,Falso,0,N,N,NO,"3,6,31",celular,0,0,Falso,1,1,0,-102.24661,21.8980058,46
250045305,0,30414,ROBO A CASA,1,06/01/2025,2,1,1,FRACCIONAMIENTO,CIRCUNVALACION NORTE,243,243,CALLE,ENCINO,NA,NA,"312,,,",AVENIDA,DE LA CONVENCION DE 1914 NORTE,6,0,0,4,19:00-23:59,3,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,"14,38","bicicleta, otros",0,0,Falso,1,1,0,-102.29673,21.9003742,47
250048285,0,30414,ROBO A CASA,1,08/01/2025,2,3,1,FRACCIONAMIENTO,EJIDO CUMBRES,210,210,CALLE,CUMBRES DE MIAHUATLAN,NA,NA,"407,,,",PRIVADA,ROGELIO MARTINEZ,3,0,0,19,07:45-09:45,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,11,herramienta,0,0,Falso,1,1,0,-102.2539,21.9060351,48
250050885,0,30414,ROBO A CASA,1,08/01/2025,2,3,1,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS II,340,340,AVENIDA,CULTURA NAZCA 206,NA,NA,"6,,,",CALLE,CULTURA TOTONACA,3,0,0,9,10:00-18:45,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,18,tanque de gas,0,1800,Falso,"1,23",1,3740,-102.23947,21.9096068,49
250052317,250052118,30414,ROBO A CASA,1,08/01/2025,2,3,6,FRACCIONAMIENTO,SANTA ISABEL,1141,1141,CALLE,REAL DE CANANEA,NA,NA,"106,B,,",CALLE,REAL DEL POTOSI,7,22,49,24,10:49 p. m.,8,NO,Verdadero,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,SI1,"1,2,6,12,18,28,31","pantalla, laptop, tecnologia, ropa, tanque de gas, dinero, maleta",5400,10400,Falso,1,1,0,-102.269,22.0816324,50
250053210,0,30414,ROBO A CASA,1,09/01/2025,2,4,11,FRACCIONAMIENTO,SAN JOSE DEL BARRANCO,1301,1301,CALLE,SALUD,NA,NA,"456,,,",CALLE,VIVIENDA,7,0,0,15,19:00-06:45,4,NO,Falso,Falso,9,ninguna,1 HOMBRE,EL BOTAS,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,"5,8,12,16,31","equipo de sonido, electrodomesticos, ropa, jugueteria, mochila",0,18000,Falso,1,1,0,-102.26554,22.0696632,51
250053494,0,50107,ROBO A CASA,1,09/01/2025,2,4,1,FRACCIONAMIENTO,MUNICIPIO LIBRE,223,223,AVENIDA,ESFUERZO NACIONAL,NA,NA,"918,,,",CALLE,AHORRO,4,0,0,27,sin datos,4,NO,Falso,Falso,9,ninguna,SOBRINO,ND,H,H,5,0,N,N,0,0,Falso,0,N,N,SI1,"12,14","ropa, bicicleta",0,0,Falso,1,1,0,-102.2572,21.8941153,52
250055065,0,30446,ROBO A CASA,1,09/01/2025,2,4,5,COLONIA,LA LOMA,894,894,CALLE,DE LA LUNA,NA,NA,"100,,,",CALLE,DEL SOL,7,0,0,21,13:00-14:15,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,CAMIONETA,RANGER ROJO,NO,9,mobiliario,0,12000,Falso,1,1,0,-102.34439,21.9506704,53
250056593,0,30446,ROBO A CASA,1,09/01/2025,2,4,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR SAN MARCOS",580,580,CALLE,GASPAR DE LA FUENTE,NA,NA,"832,A,,",AVENIDA,POLIDUCTO,3,17,0,22,05:00 p. m.,4,NO,Falso,Falso,9,ninguna,1 HOMBRE,ND,H,H,8,0,N,N,0,0,Falso,0,N,N,NO,10,acabados,0,1500,Falso,1,1,0,-102.25895,21.9264491,54
250056621,0,30414,ROBO A CASA,1,09/01/2025,2,4,1,FRACCIONAMIENTO,MORELOS II,188,188,CALLE,JOSE MARIA LICEAGA,NA,NA,"424,,,",CALLE,CORREGIDORA,5,0,0,27,sin datos,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,10,acabados,0,0,Verdadero,1,11,0,-102.26096,21.8527905,55
250057223,0,50107,ROBO A CASA,1,09/01/2025,2,4,1,COMUNIDAD,NORIAS DE OJOCALIENTE,14,14,CALLE,1 DE MAYO,NA,NA,"106,,,",CALLE,16 DE SEPTIEMBRE,4,0,0,27,sin datos,9,NO,Falso,Falso,9,ninguna,ESPOSO DE LA SOBRINA,ND,H,M,5,0,N,N,0,0,Falso,0,N,N,NO,46,accesorios de vehiculo,0,0,Falso,1,1,0,-102.21232,21.8970162,56
250057522,0,30414,ROBO A CASA,1,09/01/2025,2,4,5,COLONIA,LA ESCALERA,1064,1064,CALLE,GENERAL LAZARO CARDENAS,NA,NA,"603,,,",CALLE,BENIGNO CHAVEZ,7,0,0,10,06:00-20:57,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,SI1,"5,11,18,40","equipo de sonido, herramienta, tanque de gas, tarjetas",0,90000,Falso,1,1,0,-102.34794,21.9666777,57
